nid,enterpriseId,accountName,prodIndicator,displayProd,prodMeasure,inshiftProd,modalPage,hppd,dept,shiftsperDay,thresholdHigh,rnThreshold,activeDept,thresholdLow,newDate,escalationNote,escalationType,escalationId,viewPage,shiftName,first_init,last_name
107422,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,,
107421,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,3:00am,,
107420,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,6:00am,,
107423,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,9:00am,,
107419,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00pm,,
107424,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,3:00pm,,
107381,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,6:00pm,,
107380,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,9:00pm,,
107386,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,,
107371,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,7:00am,,
107372,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,1:00pm,,
107387,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,7:00pm,,
107438,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,,
107439,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,5:00am,,
107441,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,1:00pm,,
107440,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,5:00pm,,
107392,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,p,
107393,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/13/19,,Staffing,29,v.php?i=,7:00am,p,
107395,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,1:00pm,,
107394,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,7:00pm,,
107442,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/13/19,,,0,v.php?i=,12:00am,,
107443,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/13/19,,,0,v.php?i=,5:00am,,
107445,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/13/19,,,0,v.php?i=,1:00pm,,
107444,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/13/19,,,0,v.php?i=,5:00pm,,
107403,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,,
107430,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,5:00am,,
107432,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,1:00pm,,
107431,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,5:00pm,,
107396,0,"Paradise Valley",0,1,1,2,tj.editNEW,10.2000,"Psych 2 South - BV 63403",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,p,
107397,0,"Paradise Valley",0,1,1,2,tj.editNEW,10.2000,"Psych 2 South - BV 63403",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,8:00am,,
107398,0,"Paradise Valley",0,1,1,2,tj.editNEW,10.2000,"Psych 2 South - BV 63403",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,4:00pm,,
107404,0,"Paradise Valley",0,1,1,0,tj.editNEW,13.3000,"Psych 3E 63400-63405",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,p,
107407,0,"Paradise Valley",0,1,1,0,tj.editNEW,13.3000,"Psych 3E 63400-63405",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,8:00am,,
107405,0,"Paradise Valley",0,1,1,0,tj.editNEW,13.3000,"Psych 3E 63400-63405",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,4:00pm,,
107401,0,"Paradise Valley",0,1,1,2,tj.editNEW,9.1000,"Psych Acute Adult - 3rd Flr BV 63404",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,p,
107399,0,"Paradise Valley",0,1,1,2,tj.editNEW,9.1000,"Psych Acute Adult - 3rd Flr BV 63404",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,8:00am,,
107400,0,"Paradise Valley",0,1,1,2,tj.editNEW,9.1000,"Psych Acute Adult - 3rd Flr BV 63404",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,4:00pm,,
107409,0,"Paradise Valley",0,1,1,2,tj.editNEW,11.1000,"Psych Exempt 2N - BV 63406-63412",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,p,
107410,0,"Paradise Valley",0,1,1,2,tj.editNEW,11.1000,"Psych Exempt 2N - BV 63406-63412",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,8:00am,,
107411,0,"Paradise Valley",0,1,1,2,tj.editNEW,11.1000,"Psych Exempt 2N - BV 63406-63412",3,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,4:00pm,,
107414,0,"Paradise Valley",0,1,1,0,tj.editNEW,14.0800,"Rehabilitation Care 64400",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,p,
107415,0,"Paradise Valley",0,1,1,0,tj.editNEW,14.0800,"Rehabilitation Care 64400",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,7:00am,p,
107416,0,"Paradise Valley",0,1,1,0,tj.editNEW,14.0800,"Rehabilitation Care 64400",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,1:00pm,p,
107412,0,"Paradise Valley",0,1,1,0,tj.editNEW,14.0800,"Rehabilitation Care 64400",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,7:00pm,,
107382,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.8000,"Telemetry Unit 61701",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,12:00am,p,
107383,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.8000,"Telemetry Unit 61701",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,7:00am,p,
107384,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.8000,"Telemetry Unit 61701",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,1:00pm,,
107385,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.8000,"Telemetry Unit 61701",4,105.000,3,1,95.000,09/13/19,,,0,v.php?i=,7:00pm,,
